timestamp, frame, x, y, z, qx, qy, qz, qw
21142.902428208, 000133, 0.6084952, -0.21095626, 0.25299948, -0.26550046, 0.089675486, -0.95987505, 0.010374876
21142.969100083, 000134, 0.6192254, -0.20221473, 0.27955338, -0.26524162, 0.08973506, -0.9599393, 0.010540502
21143.03577225, 000135, 0.63139635, -0.1904431, 0.30597803, -0.26511055, 0.0897305, -0.95997566, 0.010564019
21143.102444166, 000136, 0.6442156, -0.17451961, 0.3330932, -0.26428822, 0.08944471, -0.9602227, 0.0111221215
21143.169116208, 000137, 0.6567833, -0.15514751, 0.36007375, -0.26337558, 0.088846244, -0.96052116, 0.01178174
21143.235788291, 000138, 0.6683898, -0.13423084, 0.38632363, -0.26271135, 0.08828064, -0.9607497, 0.012225359
21143.302460291, 000139, 0.6790089, -0.112973765, 0.41367787, -0.26113257, 0.087019674, -0.9612769, 0.013571787
21143.369132291, 000140, 0.6875168, -0.09281783, 0.43869668, -0.25911838, 0.085562505, -0.9619162, 0.01593696
21143.43580425, 000141, 0.6936138, -0.07312545, 0.46180874, -0.25729775, 0.083583474, -0.9625253, 0.01888537
21143.502476375, 000142, 0.6960842, -0.05532132, 0.4836753, -0.2557963, 0.08230112, -0.96297055, 0.021968128
21143.569148333, 000143, 0.696067, -0.040028878, 0.5044954, -0.2538838, 0.081350185, -0.96349347, 0.024607364
21143.635820333, 000144, 0.692798, -0.028053122, 0.52393305, -0.25229755, 0.080607094, -0.96389776, 0.02737911
21143.702492333, 000145, 0.68720794, -0.02016702, 0.5427908, -0.25014937, 0.07939146, -0.9644596, 0.030659635
21143.769164333, 000146, 0.6800471, -0.015249085, 0.56225425, -0.24782236, 0.07906689, -0.96497697, 0.033941768
21143.835836375, 000147, 0.67124885, -0.013071109, 0.58261275, -0.24518768, 0.078945816, -0.9655513, 0.036895614
21143.902508458, 000148, 0.6608649, -0.010841603, 0.6049519, -0.24160661, 0.078242384, -0.9663813, 0.040144503
21143.9691805, 000149, 0.64958215, -0.007257864, 0.62820196, -0.2386402, 0.07764352, -0.9670327, 0.043245748
21144.035852375, 000150, 0.6385965, -0.0005723489, 0.6518671, -0.23535308, 0.07738721, -0.96774185, 0.045780662
21144.102524458, 000151, 0.62746584, 0.010693555, 0.6756039, -0.23302689, 0.076775976, -0.96825767, 0.047760982
21144.169196541, 000152, 0.6151602, 0.027525846, 0.69979614, -0.23156394, 0.07677726, -0.96854544, 0.04902208
